Tên sản phẩm,Giá bán cũ,Giá mới,warranty,condition,Xuất xứ,Thời điểm ra mắt,Thời gian bảo hành (tháng),Hướng dẫn bảo quản,Hướng dẫn sử dụng,Kích thước,Trọng lượng sản phẩm,Chuẩn kháng nước / Bụi bẩn,Chất liệu,Phiên bản CPU,Loại CPU,Số nhân,Tốc độ tối đa,RAM,Kích thước màn hình,Công nghệ màn hình,Chuẩn màn hình,Độ phân giải,Màu màn hình,Tần số quét,Chất liệu mặt kính,Loại cảm ứng,Độ sáng,Chip đồ hoạ (GPU),Dung lượng (ROM),Bộ nhớ còn lại,Danh bạ lưu trữ,Thẻ nhớ ngoài,Số camera sau,Camera,Resolution,Aperture,Quay phim,Tính năng,Số Camera Selfie,Cảm biến,Bảo mật,Hỗ trợ mạng,Cổng giao tiếp,Wifi,GPS,Bluetooth,Kết nối khác,Số khe SIM,Thẻ SIM,Loại PIN,Dung lượng pin,OS,Version,Phụ kiện trong hộp,Hỗ trợ thẻ nhớ tối đa,Tỷ lệ diện tích sử dụng màn hình,Loại RAM,Kích thước màn hình phụ,Tỷ lệ màn hình,Mật độ điểm ảnh,Độ tương phản,Độ phủ màu,Pixel size,CPU,Pixel Size,Camera Type 1,Camera Type 2,Camera Type 3,Quay phim camera sau,Quay phim camera seflie,Tính năng camera selfie,Tính năng đặc biệt,Sensor,Type,Quay phim camera selfie
OPPO A57 4GB-64GB Demo,2.262.920 ₫,Not available,1 tháng,Trầy xước ít,Trung Quốc,6/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,163.6 x 75.7 x 8.4,193 g,Không,Mặt lưng máy: Nhựa,Helio G35,Octa-Core,8,2.3 GHz,3 GB,6.5 inch,IPS LCD,HD+,720 x 1600 Pixels,16 Triệu,60 Hz,Dinorex Glass,Điện dung đa điểm,,PowerVR GE8320,64 GB,Khoảng 50 GB,Không giới hạn,MicroSD,Double rear camera,Wide - Depth,13.0 MP - 2.0 MP - 8.0 MP,ƒ/2.2 - ƒ/2.4 - ƒ/2.0,FullHD 1080p@30fps HD 720p@30fps - Quay phim FullHD Quay phim HD,HDR Flash LED Quay chậm (Slow Motion) Gắn thẻ ảnh địa lý Nhận diện khuôn mặt Lấy nét theo pha (PDAF) Tự động lấy nét (AF) A.I Camera Làm đẹp (Beautify) Trôi nhanh thời gian (Time Lapse) Xóa phông Chụp góc rộng (Wide) - Nhận diện khuôn mặt A.I Camera Tự động lấy nét (AF) Làm đẹp (Beautify) HDR,Single selfie camera,Cảm biến trọng lực Cảm biến la bàn Con quay hồi chuyển Cảm biến ánh sáng Cảm biến tiệm cận,Mở khoá vân tay cạnh viền Mở khóa khuôn mặt Mở khóa bằng mật mã,4G,Cổng sạc: Type C Audio Jack: Jack 3.5 mm,802.11 b/g/n/ac Wi-Fi Direct Wi-Fi Hotspot,,v5.0,OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 12 (ColorOS 12.1),Ốp lưng Sách HDSD Sạc Cáp,256 GB,,,,,,,,,,,,,,,,,,,,
iPhone 14 Pro,18.021.960 ₫,Not available,12 tháng,Trầy xước nhiều,Trung Quốc,09/2022,12,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,147.5 x 71.5 x 7.85,206 g,,,Apple A16 Bionic,Hexa-Core,6,3.46 GHz,6 GB,6.1 inch,OLED,Super Retina XDR,2556 x 1179 Pixels,,120 Hz,Kính cường lực,Điện dung đa điểm,2000 nits,Apple GPU 5 nhân,128 GB,Khoảng 113 GB,Không giới hạn,Không,Triple rear camera,,48.0 MP - 12.0 MP - 12.0 MP - 12.0 MP,,,Ban đêm (Night Mode) Chống rung quang học (OIS) Chụp góc rộng (Wide) Chụp góc siêu rộng (Ultrawide) Live Photo,Single selfie camera,Cảm biến tiệm cận,Mở khóa bằng mật mã Mở khóa khuôn mặt,5G,,802.11 a/b/g/n/ac/ax Dual-band (2.4 GHz/ 5 GHz) Wi-Fi Hotspot,BEIDOU GALILEO GLONASS GPS QZSS,v5.3,NFC,1,"1 eSIM, 1 Nano SIM",Lithium-ion,3200 mAh,iOS,iOS 16,Cáp Sách HDSD Que lấy SIM,,,,,,,,,,,,Standard,Ultra Wide,Telephoto,FullHD 1080p@30fps HD 720p@30fps FullHD 1080p@60fps 4K 2160p@24fps 4K 2160p@30fps 4K 2160p@60fps,Quay phim 4K Quay phim FullHD Quay phim Slow Motion,Ban đêm (Night Mode) HDR Live Photo Xoá phông,,,,
Samsung Galaxy A04s,3.069.000 ₫,3.990.000 ₫,9 tháng,Không trầy xước,Việt Nam / Trung Quốc,2022,9,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,164.2 x 75.9 x 9.1 mm,195 g,Không,,Exynos 850,Octa-Core,8,1.6 GHz,4 GB,6.5 inch,PLS LCD,HD+,720 x 1600 Pixels,16 Triệu,90 Hz,Mặt kính cong 2.5D,Điện dung đa điểm,400 nits,,64 GB,,Tùy bộ nhớ,MicroSD,Triple rear camera,Wide - Macro lens - Portrait,50.0 MP - 2.0 MP - 2.0 MP - 5.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.2,,Flash LED - Làm đẹp (Beautify),Single selfie camera,,Mở khóa bằng mật mã,4G 3G,Audio Jack: Jack 3.5 mm Cổng sạc: Type C,Wi-Fi Hotspot Wi-Fi Direct Dual-band (2.4 GHz/ 5 GHz) 802.11 a/b/g/n/ac,A-GPS,v5.0,Radio FM OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 12,Cáp Sạc Sách HDSD,1 TB,,,,,,,,,,,,,,,,,,,,
Xiaomi 13 Pro 12GB,13.839.320 ₫,Not available,1 tháng,Không trầy xước,Trung Quốc,2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,1 g,,,,,,,12 GB,0.9 inch,,2K+,1440 x 3200 Pixels,,,,,,,256 GB,,,,,,,,,,Single selfie camera,,,,,,,,,,,Lithium polymer,4820 mAh,Android,Android 13.0,Sách HDSD Cáp Que lấy SIM,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy S21 FE 5G 8GB Demo,5.692.500 ₫,Not available,5 tháng,Trầy xước ít,,,5,,,,,,,,,,,,,,,,,,,,,,128 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPPO Reno8,4.281.200 ₫,Not available,1 tháng,Trầy xước ít,Trung Quốc,04/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,159.9 x 73.2 x 7.49,175 g,IPX4,Mặt lưng máy: Thủy tinh hữu cơ Khung máy: Nhựa,Snapdragon 680,,8,2.4 GHz,8 GB,6.4 inch,Chính: AMOLED,FHD+,1080 x 2400 Pixels,16 Triệu,90 Hz,Gorilla Glass 5,Điện dung đa điểm,,Adreno 610,256 GB,,Không giới hạn,MicroSD,Triple rear camera,Standard - Bokeh - Macro lens,64.0 MP - 2.0 MP - 2.0 MP - 32.0 MP,ƒ/1.7 - ƒ/2.4 - f/3.3 - ƒ/2.4,1080p@30fps 720p@30fps - Quay phim FullHD Quay phim HD,Lấy nét laser Làm đẹp video Ban đêm (Night Mode) Quay chậm (Slow Motion) HDR Làm đẹp (Beautify) A.I Camera Toàn cảnh (Panorama) Trôi nhanh thời gian (Time Lapse) Chụp góc rộng (Wide) Chuyên nghiệp (Pro) - Ban đêm (Night Mode) Nhận diện khuôn mặt A.I Camera Tự động lấy nét (AF) Nhãn dán (AR Stickers) Làm đẹp (Beautify),Single selfie camera,Cảm biến ánh sáng Cảm biến tiệm cận Cảm biến trọng lực Con quay hồi chuyển Cảm biến la bàn Cảm biến vân tay,Mở khóa bằng mật mã Mở khóa vân tay dưới màn hình Mở khóa khuôn mặt,3G 4G,,802.11 a/b/g/n/ac Dual-band (2.4 GHz/ 5 GHz),A-GPS,v5.1,OTG,2,2 Nano SIM,Lithium polymer,4500 mAh,Android,Android 12 (ColorOS 12.1),Sạc Que lấy SIM Sách HDSD Cáp Type C Ốp lưng,1 TB,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy Z Flip4 5G Flex Mode Collection,7.313.460 ₫,Not available,1 tháng,Trầy xước ít,Việt Nam,09/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,165.2 x 71.9 x 6.9,183 g,IPX8,Mặt lưng máy: Kính cường lực Khung máy: Kim loại,Snapdragon 8+ Gen 1,Octa-Core,8,,8 GB,6.7 inch,Dynamic AMOLED,FHD+,1080 x 2636 Pixels,16 Triệu,120 Hz,,Điện dung đa điểm,,,256 GB,,Không giới hạn,Không,Double rear camera,Wide - Ultra Wide,12.0 MP - 12.0 MP - 10.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4,FullHD 1080p@60fps FullHD 1080p@30fps HD 720p@30fps - Quay phim FullHD,ISO Setting Làm đẹp (Beautify) Gắn thẻ ảnh địa lý Cài đặt cân bằng trắng Trôi nhanh thời gian (Time Lapse) Lấy nét theo pha (PDAF) Lấy nét laser Chụp góc siêu rộng (Ultrawide) Ổn định hình ảnh quang học Làm đẹp video Toàn cảnh (Panorama) Ban đêm (Night Mode) A.I Camera Zoom quang học Chuyên nghiệp (Pro) Xóa phông Zoom kỹ thuật số Chụp góc rộng (Wide) HDR Quay chậm (Slow Motion) Tự động lấy nét (AF) Flash LED Chống rung quang học (OIS) Nhận diện khuôn mặt - HDR Nhãn dán (AR Stickers) Làm đẹp (Beautify) A.I Camera Nhận diện khuôn mặt Tự động lấy nét (AF),Single selfie camera,Cảm biến ánh sáng Cảm biến tiệm cận Cảm biến la bàn Cảm biến vân tay,Mở khóa bằng mật mã Mở khóa khuôn mặt,5G 4G,,802.11 a/b/g/n,A-GPS GLONASS QZSS GALILEO,v5.2,NFC OTG Computer sync Radio FM,2,"1 eSIM, 1 Nano SIM",Lithium polymer,3700 mAh,Android,Android 12,Cáp Que lấy SIM Sách HDSD,,82%,LPDDR5,19 inch,21:9,,,,,,,,,,,,,,,,
Nokia C20 2Gb,1.188.000 ₫,Not available,1 tháng,Trầy xước ít,Việt Nam,04/2021,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,165.3 x 77.9 x 8.8,191 g,,Polymer,Spreadtrum SC9863A,Octa-Core,8,1.6 GHz,2 GB,6.5 inch,IPS LCD,HD+,720 x 1600 Pixels,,,Kính cường lực,Điện dung đa điểm,,Mali-G52 MC2,32 GB,,Không giới hạn,MicroSD,Double rear camera,Standard - Wide,5.0 MP - 5.0 MP - 5.0 MP,ƒ/2.2 - ƒ/2.0 - ƒ/2.2,FullHD 1080p@30fps HD 720p@30fps - Quay phim FullHD,Chụp chân dung Tự động lấy nét (AF) Flash LED Làm đẹp (Beautify) Lấy nét theo pha (PDAF) Toàn cảnh (Panorama) Ban đêm (Night Mode) - Làm đẹp (Beautify) Nhận diện khuôn mặt Xoá phông,Single selfie camera,Cảm biến tiệm cận Cảm biến ánh sáng,Mở khóa bằng mật mã Mở khóa khuôn mặt,4G 5G,,802.11 b/g/n Wi-Fi Hotspot,A-GPS GPS,v4.2,Radio FM Slot SIM/thẻ nhớ dùng chung,2,2 Nano SIM,Lithium-ion,2950 mAh,Android,Android 11,Ốp lưng Que lấy SIM Adapter Cáp Tai nghe Sách HDSD,64 GB,97%,LPDDR3,,20:9,269 ppi,,,,,,,,,,,,,,,
Samsung Galaxy S21 Plus,12.991.000 ₫,Not available,1 tháng,Trầy xước ít,Việt Nam / Trung Quốc,01/2021,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,161.4 x 75.6 x 7.8,189 g,,Khung máy: Nhôm Mặt lưng máy: Kính cường lực,Exynos 2100,Octa-Core,8,2.2 GHz,8 GB,6.7 inch,Dynamic AMOLED 2X,FHD+,1080 x 2400 Pixels,16 Triệu,120 Hz,Gorilla Glass Victus,Điện dung đa điểm,,Mali-G78 MP14,128 GB,Khoảng 115 GB,,Không,Triple rear camera,Wide - Portrait - Macro lens,12.0 MP - 12.0 MP - 64.0 MP - 10.0 MP,ƒ/2.2,HD 720p@960fps FullHD 1080p@30fps FullHD 1080p@240fps FullHD 1080p@60fps - Quay phim FullHD Quay phim 4K,Tự động lấy nét (AF) Xóa phông Nhận diện khuôn mặt Làm đẹp video Ban đêm (Night Mode) Zoom quang học Chống rung quang học (OIS) HDR Lấy nét laser Làm đẹp (Beautify) Chụp góc rộng (Wide) Lấy nét theo pha (PDAF) ISO Setting A.I Camera Trôi nhanh thời gian (Time Lapse) Zoom kỹ thuật số Flash LED Chụp chân dung Chuyên nghiệp (Pro) Toàn cảnh (Panorama) Chụp góc siêu rộng (Ultrawide) - HDR A.I Camera Xoá phông Nhãn dán (AR Stickers) Tự động lấy nét (AF) Làm đẹp (Beautify) Nhận diện khuôn mặt,Single selfie camera,Cảm biến vân tay Cảm biến trọng lực Cảm biến ánh sáng,Mở khóa vân tay dưới màn hình Mở khóa bằng mật mã Mở khóa khuôn mặt,4G 5G,,Dual-band (2.4 GHz/ 5 GHz) 802.11 a/b/g/n/ac/ax Wi-Fi Direct Wi-Fi Hotspot,GALILEO A-GPS GLONASS BDS,v5.0,OTG Radio FM NFC,2,"2 Nano SIM hoặc 1 eSIM, 1 Nano SIM",Lithium-ion,4800 mAh,Android,Android 11,Cáp Sách HDSD Que lấy SIM,,,,,,,,,,,,,,,,,,,,,
Vivo Y03 4GB,2.299.000 ₫,2.990.000 ₫,9 tháng,Trầy xước ít,Trung Quốc,03/2024,9,,,163.78 × 75.73 × 8.39 mm,185 g,IP54,Mặt lưng máy: Nhựa Khung máy: Nhựa,Helio G85,Octa-Core,8,90 GHz,4 GB,6.56 inch,LCD,HD+,720 x 1612 Pixels,,,,Điện dung đa điểm,,Mali-G52,64 GB,,,MicroSD,Double rear camera,,13.0 MP - 0.08 MP - 5.0 MP,ƒ/2.2 - ƒ/3.0 - ƒ/2.2,,Chụp chân dung Toàn cảnh (Panorama) Live Photo Quay chậm (Slow Motion) Trôi nhanh thời gian (Time Lapse) Ban đêm (Night Mode) - Live Photo Ban đêm (Night Mode) Chế độ chân dung,,,,3G 4G,Type C,Dual-band (2.4 GHz/ 5 GHz),GPS BEIDOU GLONASS GALILEO QZSS,v5.0,,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 14,,,,LPDDR4X,,,269 ppi,,,,2 x Cortex A75 2.0 GHz + 6 x Cortex A55 1.8 GHz,,,,,,,,,,,
Honor X5 Plus 4GB,1.724.250 ₫,2.790.000 ₫,9 tháng,Trầy xước ít,Trung Quốc,10/2023,9,,,163.32 x 8.35 x 75.07 mm,188 g,,Nhựa,MediaTek Helio G36,Octa-Core,8,2.2 GHz,4 GB,6.56 inch,TFT LCD,,720 x 1612 Pixels,16.7 Triệu,90 Hz,,,,IMG GE8320,64 GB,,,Không,Double rear camera,Standard - Wide,50 MP - 2.0 MP - 5.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.2,,Chụp chân dung Siêu cận (Macro) Trôi nhanh thời gian (Time Lapse) HDR Toàn cảnh (Panorama) Chuyên nghiệp (Pro) Nhãn dán (AR Stickers),Single selfie camera,Cảm biến vân tay Cảm biến trọng lực Cảm biến ánh sáng,,3G 4G,Cổng sạc: Type C Audio Jack: Jack 3.5 mm,802.11 a/b/g/n/ac,GPS A-GPS GLONASS BEIDOU GALILEO,v5.1,,2,2 Nano SIM,Lithium polymer,5200 mAh,Android,Android 13.0,Ốp lưng Sạc Sách HDSD,,,,,20:15,,,,,4 x Cortex A53 2.2 GHz + 4 x Cortex A53,,,,,,,,,,,
Honor X8A Demo,2.497.000 ₫,Not available,1 tháng,Trầy xước ít,Trung Quốc,2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,162.9 x 74.5 x 7.48,179 g,,Nhựa,MediaTek Helio G88,Octa-Core,8,2 GHz,8 GB,6.7 inch,IPS LCD,FHD+,1080 x 2376 Pixel,16.7 Triệu,90 Hz,,Điện dung đa điểm,,Mali-G52 MC2,128 GB,,,,Triple rear camera,Wide - Ultra Wide - Macro lens,100.0 MP - 5.0 MP - 2.0 MP - 16.0 MP,ƒ/1.9 - ƒ/2.2 - ƒ/2.4 - ƒ/2.5,1080p@30fps - Quay phim FullHD,Flash LED HDR Toàn cảnh (Panorama) - Live Photo Nhận diện khuôn mặt,,,,2G 4G 3G,,802.11 a/b/g/n/ac Dual-band (2.4 GHz/ 5 GHz) Wi-Fi Direct,,v5.1,NFC,2,2 Nano SIM,Lithium polymer,4500 mAh,Android,Android 12,Sạc Sách HDSD Thẻ bảo hành,,,,,19.5:9,393 ppi,,,,2 x Cortex A75 2.0 GHz + 6 x Cortex A55 1.8 GHz,,,,,,,,,,,
Xiaomi Redmi Note 13 Pro Plus 5G 8GB,7.351.630 ₫,10.990.000 ₫,5 tháng,Trầy xước ít,Trung Quốc,01/2024,5,,,161.4 x 74.2 x 8.9,204.5 g,IP68,Khung máy: Nhựa Mặt lưng máy: Kính,Dimensity 7200 Ultra,,,,8 GB,6.67 inch,AMOLED,1.5K,2712 x 1220 Pixels,,120,,,,,256 GB,Khoảng 251 GB,Không giới hạn,Không,Triple rear camera,Standard - Ultra Wide - Macro lens,200.0 MP - 8.0 MP - 2.0 MP - 16.0 MP,,4K 2160p@30fps - Quay phim FullHD,Chống rung quang học (OIS) - HDR,Single selfie camera,Hồng ngoại,Mở khóa vân tay dưới màn hình,5G,Cổng sạc: Type C,802.11 a/b/g/n/ac/ax,GPS GLONASS,v5.3,NFC,2,2 Nano SIM,,5000 mAh,Android,Android 13.0,Sạc Cáp Ốp lưng Que lấy SIM Sách HDSD,,,,,,,,,,,,,,,,,,,,,
iPhone 14 Pro Max,22.439.120 ₫,29.990.000 ₫,12 tháng,Trầy xước ít,Trung Quốc,09/2022,12,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,160.7 x 77.6 x 7.85,240 g,IP68,,Apple A16 Bionic,,6,3.46 GHz,6 GB,6.7 inch,OLED,Super Retina XDR,2796 x 1290 Pixels,,120 Hz,Kính cường lực,Điện dung đa điểm,2000 nits,Apple GPU 5 nhân,128 GB,Khoảng 113 GB,Không giới hạn,Không,Triple rear camera,,48.0 MP - 12.0 MP - 12.0 MP - 12.0 MP,,,Zoom quang học Siêu cận (Macro) Live Photo Bộ lọc màu HDR Trôi nhanh thời gian (Time Lapse) Chụp góc siêu rộng (Ultrawide) Toàn cảnh (Panorama) Chống rung quang học (OIS) Ban đêm (Night Mode) Quay chậm (Slow Motion) Xóa phông Zoom kỹ thuật số,Single selfie camera,Cảm biến tiệm cận,Mở khóa khuôn mặt Mở khóa bằng mật mã,5G,1 Lightning,Wi-Fi Hotspot 802.11 a/b/g/n/ac/ax,GLONASS GPS GALILEO QZSS BEIDOU,v5.3,NFC,1,"1 eSIM, 1 Nano SIM",Lithium-ion,4323 mAh,iOS,iOS 16,Que lấy SIM Sách HDSD Cáp,,,,,,,,,,,,Standard,Ultra Wide,Telephoto,4K 4320p@24fps FullHD 1080p@60fps FullHD 1080p@25fps HD 720p@30fps 4K 4230p@30fps FullHD 1080p@30fps 4K 4230p@60fps,Quay phim Slow Motion Quay phim 4K Quay phim FullHD,Ban đêm (Night Mode) Live Photo Tự động lấy nét (AF) HDR,,,,
Điện Thoại Di Động Samsung Galaxy Z Flip4 5G 256GB Vàng - F721,7.313.460 ₫,Not available,1 tháng,Không trầy xước,Việt Nam,08/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,165.2 x 71.9 x 6.9,183 g,IPX8,Khung máy: Kim loại Mặt lưng máy: Kính cường lực,Snapdragon 8+ Gen 1,Octa-Core,8,,8 GB,1.9 inch,Dynamic AMOLED 2X,FHD+,1080 x 2636 Pixels,16 Triệu,120 Hz,,Điện dung đa điểm,1200 nits,,256 GB,,Không giới hạn,Không,Double rear camera,Wide - Ultra Wide,12.0 MP - 12.0 MP - 10.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4,FullHD 1080p@30fps FullHD 1080p@60fps HD 720p@30fps - Quay phim FullHD,Xóa phông Chống rung quang học (OIS) Gắn thẻ ảnh địa lý Quay chậm (Slow Motion) Trôi nhanh thời gian (Time Lapse) Tự động lấy nét (AF) Làm đẹp (Beautify) Zoom quang học Lấy nét theo pha (PDAF) Chụp góc rộng (Wide) HDR Làm đẹp video Lấy nét laser Toàn cảnh (Panorama) Chụp góc siêu rộng (Ultrawide) Flash LED Nhận diện khuôn mặt Cài đặt cân bằng trắng ISO Setting Ban đêm (Night Mode) A.I Camera Chuyên nghiệp (Pro) Zoom kỹ thuật số Ổn định hình ảnh quang học - Tự động lấy nét (AF) Làm đẹp (Beautify) Nhãn dán (AR Stickers) A.I Camera Nhận diện khuôn mặt HDR,Single selfie camera,Cảm biến ánh sáng Cảm biến tiệm cận Cảm biến la bàn Cảm biến vân tay,Mở khóa khuôn mặt Mở khóa bằng mật mã,5G 4G,,802.11 a/b/g/n,A-GPS GALILEO GLONASS QZSS,v5.2,OTG Radio FM NFC Computer sync,2,"1 eSIM, 1 Nano SIM",Lithium-ion,3700 mAh,Android,Android 12,Cáp Sách HDSD Que lấy SIM,,82%,LPDDR5,19 inch,21:9,,,,,,,,,,,,,,,,
Masstel Lux 20 4G,228.140 ₫,Not available,1 tháng,Trầy xước ít,,,1,,,,,,,,,,,,,,,,,,,,,,128 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A54 5G,5.060.880 ₫,Not available,1 tháng,Trầy xước nhiều,,,1,,,,202 g,IP67,,,,,,8 GB,,,,,,,,,,,128 GB,,,,,,,,,,,,,,Type C,,,,,,,,,,Android 12,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Redmi Note 12S 8GB-256GB Demo,2.867.700 ₫,Not available,1 tháng,Trầy xước ít,Trung Quốc,2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,159.87 x 73.87 x 8.09,176 g,IP53,Mặt kính: Kính Gorilla Glass 3,MediaTek Helio G96,Octa-Core,8,2.05 GHz,8 GB,6.43 inch,AMOLED,FHD+,1080 x 2400 Pixels,,90 Hz,Gorilla Glass 3,Điện dung đa điểm,1000 nits,Mali-G57 MC2,256 GB,Khoảng 223 GB,Không giới hạn,MicroSD,Triple rear camera,Standard - Ultra Wide - Macro lens,108.0 MP - 8.0 MP - 2.0 MP - 16.0 MP,ƒ/1.89 - ƒ/2.2 - ƒ/2.4 - ƒ/2.45,,,Single selfie camera,,Mở khóa bằng mật mã Mở khoá vân tay cạnh viền,4G,Cổng sạc: Type C Audio Jack: Jack 3.5 mm,,,v5.1,NFC,2,2 Nano SIM,,5000 mAh,Android,Android 13.0,Cáp Ốp lưng Que lấy SIM Sạc Sách HDSD,1 TB,,LPDDR4X,,,,,,0.70 µm,,,,,,,,,,,,
Xiaomi Redmi Note 12 Pro 8GB,4.672.800 ₫,7.990.000 ₫,1 tháng,Trầy xước ít,Trung Quốc,2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,164.2 x 76.1 x 8.12,201.8 g,IP53,Mặt kính: Kính Gorilla Glass 5,Snapdragon 732G,,8,2.2 GHz,8 GB,6.67 inch,AMOLED,FHD+,1080 x 2400 Pixels,,120 Hz,Gorilla Glass 5,,1100 nits,Adreno 618,256 GB,Khoảng 223 GB,Không giới hạn,MicroSD,Quad rear camera,Standard - Ultra Wide - Depth - Macro lens,108.0 MP - 8.0 MP - 2.0 MP - 2.0 MP - 16.0 MP,ƒ/1.9 - ƒ/2.2 - ƒ/2.4 - ƒ/2.4 - ƒ/2.4,,,Single selfie camera,,Mở khóa bằng mật mã Mở khóa khuôn mặt Mở khoá vân tay cạnh viền,4G,Cổng sạc: Type C Audio Jack: Jack 3.5 mm,802.11 a/b/g/n/ac,,,NFC Slot SIM/thẻ nhớ dùng chung,2,2 Nano SIM,,5000 mAh,Android,Android 11,Cáp Sách HDSD Que lấy SIM Ốp lưng,1 TB,,LPDDR4X,,,,,,0.70 µm,,,,,,,,,,,,
Vivo Y35 8GB,3.613.500 ₫,6.990.000 ₫,2 tháng,,Trung Quốc,10/2022,2,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,164.3 x 76.1 x 8.28,188 g,IP54,Vỏ thân máy: Polymer,Snapdragon 680,,8,2.4 GHz,8 GB,6.58 inch,Chính: LCD,FHD+,2408 x 1080 Pixels,16.7 Triệu,90 Hz,,Điện dung đa điểm,550 nits,Adreno 610,128 GB,Khoảng 113 GB,,MicroSD,Triple rear camera,Standard - Bokeh - Macro lens,50.0 MP - 2.0 MP - 2.0 MP - 16.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.4 - ƒ/2.0,,Chuyên nghiệp (Pro) Toàn cảnh (Panorama) Chụp chân dung Quay chậm (Slow Motion) Ban đêm (Night Mode) - Ban đêm (Night Mode),,Cảm biến ánh sáng Cảm biến trọng lực Cảm biến la bàn Con quay hồi chuyển Cảm biến vân tay Cảm biến tiệm cận,Mở khóa khuôn mặt Mật khẩu Mở khoá vân tay cạnh viền,4G,Type C,802.11 a/b/g/n/ac Wi-Fi Hotspot Wi-Fi Direct,BEIDOU GALILEO GLONASS GPS QZSS,v5.0,Radio FM OTG,2,2 Nano SIM,Lithium-ion,5000 mAh,Android,Android 12,Miếng dán màn hình Sách HDSD Ốp lưng Sạc Dây sạc Que lấy SIM,1 TB,90.6%,LPDDR4X,,,401 ppi,1500:1,,0.64 µm - 1.75 µm - 1.00 µm,4 x Cortex-A73 + 4 x Cortex-A53,1.75 µm,,,,,,,,,CMOS - CMOS - CMOS - CMOS,
Xiaomi Redmi 10A 3GB,1.600.500 ₫,3.290.000 ₫,1 tháng,Trầy xước ít,Trung Quốc,07/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,164.9 x 77.1 x 9.0,194 g,,Mặt lưng máy: Nhựa,Helio G25,Octa-Core,8,2 GHz,3 GB,6.53 inch,IPS LCD,HD+,720 x 1600 Pixels,16 Triệu,,Gorilla Glass 3,Điện dung đa điểm,400 nits,PowerVR GE8320,64 GB,,Không giới hạn,MicroSD,Double rear camera,Standard - Depth,13.0 MP - 2.0 MP - 5.0 MP,ƒ/2.2,FullHD 1080p@30fps HD 720p@30fps - Quay phim HD,Gắn thẻ ảnh địa lý Flash LED Làm đẹp (Beautify) Zoom kỹ thuật số Tự động lấy nét (AF) Chụp chân dung A.I Camera Xóa phông Cài đặt cân bằng trắng HDR ISO Setting Nhận diện khuôn mặt - Làm đẹp (Beautify) Nhận diện khuôn mặt Tự động lấy nét (AF),Single selfie camera,Cảm biến gia tốc Cảm biến tiệm cận,Mở khóa bằng mật mã Mở khóa vân tay,4G,Micro-USB,802.11 a/b/g/n,A-GPS BDS BEIDOU GLONASS,v5.0,Jack 3.5 mm,2,2 Nano SIM,Lithium-ion,50000 mAh,Android,Android 11,Cáp Sạc Que lấy SIM Sách HDSD,1 TB,81%,,,20:9,268 ppi,1500:1,,,8 x Cortex A53 2.0 GHz,,,,,,,,,,,
